Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Remove""))",Firefox 129.0,,,2024-09-05 23:32:45,2024-09-05 23:32:46,0.826s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Page_Facebook  log in or sign up/wording desc recent login""), 20))",Firefox 129.0,,,2024-09-05 23:32:46,2024-09-05 23:32:48,2.493s,PASSED
,,,,,,,
Test Cases/Web Facebook/LoginValidSetelahSalahInputEmailOrPassword,Firefox 129.0,,,2024-09-05 23:32:48,2024-09-05 23:34:21,1m - 33.102s,PASSED
"openBrowser("""")",Firefox 129.0,,,2024-09-05 23:32:49,2024-09-05 23:32:58,8.876s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Firefox 129.0,,,2024-09-05 23:32:58,2024-09-05 23:33:00,2.468s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), invalidEmail)",Firefox 129.0,,,2024-09-05 23:33:00,2024-09-05 23:33:02,1.364s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:33:02,2024-09-05 23:33:02,0.520s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:33:02,2024-09-05 23:33:35,33.117s,PASSED
failedLogin = getUrl(),Firefox 129.0,,,2024-09-05 23:33:35,2024-09-05 23:33:35,0.014s,PASSED
"errorMessage = getText(findTestObject(""Object Repository/Page_1725545881244/errorMessage""))",Firefox 129.0,,,2024-09-05 23:33:35,2024-09-05 23:33:36,0.422s,PASSED
"borderColor = getCSSValue(findTestObject(""Object Repository/Page_1725545881244/borderEmail""), ""border-bottom-color"")",Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.414s,PASSED
"checkBorderColor = verifyEqual(borderColor, ""rgb(240, 40, 73)"")",Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.003s,PASSED
println(borderColor),Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.001s,PASSED
println(checkBorderColor),Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.001s,PASSED
println(failedLogin),Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.001s,PASSED
println(errorMessage),Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.001s,PASSED
"if (checkBorderColor == ""true"" && failedLogin.contains(""https://www.facebook.com/login/?privacy_mutation_token="") && errorMessage == ""The email address or mobile number you entered isn't connected to an account. Find your account and log in."")",Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:36,0.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), validEmail)",Firefox 129.0,,,2024-09-05 23:33:36,2024-09-05 23:33:37,0.865s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:33:37,2024-09-05 23:33:38,0.442s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:33:38,2024-09-05 23:34:15,36.886s,PASSED
successLogin = getUrl(),Firefox 129.0,,,2024-09-05 23:34:15,2024-09-05 23:34:15,0.024s,PASSED
"username = getText(findTestObject(""Object Repository/Page_(20) Facebook/username""))",Firefox 129.0,,,2024-09-05 23:34:15,2024-09-05 23:34:18,3.360s,PASSED
println(successLogin),Firefox 129.0,,,2024-09-05 23:34:18,2024-09-05 23:34:18,0.001s,PASSED
println(username),Firefox 129.0,,,2024-09-05 23:34:18,2024-09-05 23:34:18,0.000s,PASSED
"if (successLogin == ""https://www.facebook.com/"" && username == ""Rahma Nisa Z E"")",Firefox 129.0,,,2024-09-05 23:34:18,2024-09-05 23:34:21,3.323s,PASSED
,,,,,,,
Test Cases/Web Facebook/LoginValidUsernameAndPassword,Firefox 129.0,,,2024-09-05 23:34:21,2024-09-05 23:35:20,58.872s,PASSED
"openBrowser("""")",Firefox 129.0,,,2024-09-05 23:34:22,2024-09-05 23:34:31,8.421s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Firefox 129.0,,,2024-09-05 23:34:31,2024-09-05 23:34:33,2.476s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), email)",Firefox 129.0,,,2024-09-05 23:34:33,2024-09-05 23:34:34,1.148s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:34:34,2024-09-05 23:34:35,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:34:35,2024-09-05 23:35:12,37.260s,PASSED
successLogin = getUrl(),Firefox 129.0,,,2024-09-05 23:35:12,2024-09-05 23:35:12,0.014s,PASSED
"username = getText(findTestObject(""Object Repository/Page_(20) Facebook/username""))",Firefox 129.0,,,2024-09-05 23:35:12,2024-09-05 23:35:17,5.152s,PASSED
println(successLogin),Firefox 129.0,,,2024-09-05 23:35:17,2024-09-05 23:35:17,0.000s,PASSED
println(username),Firefox 129.0,,,2024-09-05 23:35:17,2024-09-05 23:35:17,0.000s,PASSED
"if (successLogin == ""https://www.facebook.com/"" && username == ""Rahma Nisa Z E"")",Firefox 129.0,,,2024-09-05 23:35:17,2024-09-05 23:35:20,3.018s,PASSED
